Market_ID,Market,District,latitude,longitude
2197.0,Hubli (Amaragol),Dharwad,15.382070514975846,75.12741176666667
3099.0,Kolhapur,Kolhapur,16.56265913117647,74.27218900264707
6337.0,Vijayanagaram,Vijayanagaram,,
3030.0,Khuzama,Kohima,25.4936274358,93.82240949160001
6364.0,Virudhachalam,Cuddalore,11.542967238771187,79.53492857966101
5915.0,Thattanchavady,Pondicherry,11.91853735967742,79.74103447580644
6122.0,Ulundurpettai,Villupuram,12.096167180205654,79.48448226863754
5230.0,Samsi,Malda,25.065715178466075,88.17695197020649
2979.0,Kharupetia,Darrang,26.502820033783784,91.86088807567567
885.0,Bhopal,Bhopal,23.394351744714285,77.3895317085
2305.0,Jaipur (F&V),Jaipur,26.799283426410256,75.835127877669
2307.0,Jaipur (Grain),Jaipur,26.799283426410256,75.835127877669
597.0,Barasat,North 24 Parganas,22.737494274710983,88.6200297764451
1134.0,Chandigarh (F&V),Chandigarh,30.627202199245282,77.05978472981131
4820.0,Pune,Pune,18.56390124691517,74.04359533511568
2365.0,Jalukie,Kohima,25.4936274358,93.82240949160001
154.0,Alwar,Alwar,27.510668904320987,76.63584276152264
974.0,Bishalgarh,Sepahijala,23.517310667142855,88.82445336
4041.0,Nagpur,Nagpur,21.14544620704871,78.93388698011461
3937.0,Mumbai,Mumbai,18.973047191,72.83688400290909
4115.0,Narela,Delhi,28.547893338095236,77.17467193809523
3706.0,Margao,South Goa,15.299741318,73.96552351614545
4937.0,Rajkot,Rajkot,22.07138236321839,71.03554005316091
546.0,Bangalore,Bangalore,,
1756.0,Fazilka,Fazilka,30.462665998611115,74.27535990069445
185.0,Ambala City,Ambala,30.233374327659572,76.90070875340426
5946.0,Thiruvananthapuram,Thiruvananthapuram,8.582007459830098,76.95365030980582
3519.0,Mahuva (Station Road),Bhavnagar,21.544129019148937,71.8889934455927
2291.0,Jagraon,Ludhiana,30.237390129863012,76.27627137534246
5205.0,Samana,Patiala,30.218657738121546,76.48219763867404
2959.0,Khanna,Ludhiana,30.237390129863012,76.27627137534246
4588.0,Patiala,Patiala,30.218657738121546,76.48219763867404
3179.0,Kotkapura,Faridkot,30.563563215384615,74.84771629076923
6149.0,Unjha,Mehsana,,
960.0,"Binny Mill (F&V), Bangalore",Bangalore,,
6354.0,Villupuram,Villupuram,12.096167180205654,79.48448226863754
6313.0,Vengeri (Kozhikode),Kozhikode (Calicut),11.455275198207335,75.80767036080415
66.0,Ahmedabad,Ahmedabad,22.956002204377338,72.4080722858201
1957.0,Gondal,Rajkot,22.07138236321839,71.03554005316091
3160.0,Kota,Kota,25.156261352421055,76.00711354052632
2483.0,Jodhpur (F&V),Jodhpur,26.566827647519055,72.98350901791054
2486.0,Jodhpur (Grain),Jodhpur,26.566827647519055,72.98350901791054
1365.0,Dahod,Dahod,,
4145.0,Nashik (Devlali),Nashik,20.22241155695461,74.0632699863836
5254.0,Sangli,Sangli,17.129705121662468,74.57199502216625
3990.0,Mysore (Bandipalya),Mysore,,
3871.0,Moovattupuzha,Ernakulam,10.121855368641285,76.42678155504011
2944.0,Khammam,Khammam,17.20973289887805,80.34450406498291
6193.0,Vadodara,Vadodara (Baroda),18.361681980095923,74.04036188920863
1068.0,Byadagi,Haveri,14.72479762890625,75.41061051535156
5414.0,Shahada,Nandurbar,21.518055014468086,74.20677729221276
715.0,Belgaum,Belgaum,,
1409.0,Davangere,Davangere,14.375536619841268,76.04239191626984
2104.0,Harihara,Davangere,14.375536619841268,76.04239191626984
1557.0,Dharwar,Dharwad,15.382070514975846,75.12741176666667
787.0,Bhandara,Bhandara,21.171406542028986,79.66537815072464
2770.0,Karimnagar,Karimnagar,18.386886147777776,79.23871305388889
5345.0,Sattupalli,Khammam,17.20973289887805,80.34450406498291
2707.0,Kangra,Kangra,32.040158033607085,76.27243818806762
1715.0,Erode,Erode,11.396338333333333,77.51781609532163
1917.0,Gingee,Villupuram,12.096167180205654,79.48448226863754
166.0,Amarawati,Amarawati,21.153251954293637,77.63506699911612
1135.0,Chandigarh (Grain/Fruit),Chandigarh,30.627202199245282,77.05978472981131
4480.0,Pandua,Hooghly,22.80589255641548,88.19879971242362
1713.0,Ernakulam,Ernakulam,10.121855368641285,76.42678155504011
3356.0,Lamlong Bazaar,Imphal East,24.793845145121953,94.05603750609757
5711.0,Sriganganagar (Grain),Ganganagar,29.49674420487013,73.94744794253246
4593.0,Patna (Musallahpur),Patna,25.38385870231579,85.20724808315789
3378.0,Latur,Latur,18.340443582638887,76.5389919232639
4055.0,Najafgarh,Delhi,28.547893338095236,77.17467193809523
4187.0,Nedumangadu,Thiruvananthapuram,8.582007459830098,76.95365030980582
2134.0,Haveri,Haveri,14.72479762890625,75.41061051535156
5281.0,Santir Bazar,South District,,
5613.0,Sirsa,Sirsa,29.61980556,74.91553518
1343.0,Cuddapah,Cuddapah,,
1353.0,Dabra,Gwalior,26.074194480838322,78.19564007604791
5264.0,Sangriya,Hanumangarh,29.270062949222794,74.73108364715026
3833.0,Moga,Moga,30.771799931976744,75.13204015581395
4894.0,Raichur,Raichur,16.081785446712804,76.93936991799308
6112.0,Ujjain,Ujjain,23.694178598453608,76.0109305572165
1840.0,Gangavathi,Koppal,15.538926111978013,76.24613390801323
5573.0,Sindhanur,Raichur,16.081785446712804,76.93936991799308
923.0,Bijapur,Bijapur,,
759.0,Bhadrak,Bhadrak,20.985358618688526,86.58942536655736
5592.0,Sira,Tumkur,13.439977469787985,76.93729492614841
2083.0,Hanumangarh,Hanumangarh,29.270062949222794,74.73108364715026
742.0,Bethuadahari,Nadia,23.474975255021832,88.44607096419215
3092.0,Kolar,Kolar,13.1155272990991,78.21080382792793
2773.0,Karimpur,Nadia,23.474975255021832,88.44607096419215
5729.0,Sultan bathery,Wayanad,11.698322889074074,76.10749919401235
4003.0,Nabha,Patiala,30.218657738121546,76.48219763867404
1055.0,Bundi,Bundi,25.81022674457143,75.61012916514287
2238.0,Indore (F&V),Indore,22.848120859999998,76.30067337935485
2123.0,Hassan,Hassan,13.001651772154963,76.1276676929782
1278.0,Chintamani,Kolar,13.1155272990991,78.21080382792793
3918.0,Muktsar,Muktsar,30.316437851851852,74.57517466148147
5839.0,Tarantaran,Tarntaran,31.379901981355932,74.86648354519774
5763.0,Surat,Surat,21.204527528512585,73.04401978243628
307.0,Arasikere,Hassan,13.001651772154963,76.1276676929782
4147.0,Nasik,Nashik,20.22241155695461,74.0632699863836
1153.0,Channapatana,Bangalore,,
917.0,Bidar,Bidar,17.86113409475,77.632651364
2566.0,Kadur,Chikmagalur,13.44241487973422,75.69804921129568
1782.0,Gadag,Gadag,15.438750253884775,75.66889558751662
3390.0,Laxmeshwar,Gadag,15.438750253884775,75.66889558751662
550.0,Bangarpet,Kolar,13.1155272990991,78.21080382792793
1248.0,Chickkaballapura,Kolar,13.1155272990991,78.21080382792793
3640.0,Mangalore,Mangalore (Dakshin Kannad),12.870742132618027,75.12199814077253
5654.0,Solapur,Sholapur,17.835811530592732,75.51065253843213
2831.0,Katihar,Kaithar,25.51273492896175,87.41352972513661
761.0,Bhadravathi,Shimoga,14.04070223977591,75.32533234313726
6069.0,Tumkur,Tumkur,13.439977469787985,76.93729492614841
1289.0,Chitradurga,Chitradurga,14.220281672380953,76.62793510666667
3253.0,Kumta,Karwar (Uttar Kannad),,
1967.0,Gonikappal,Madikeri (Kodagu),12.351887166478875,75.83909581934272
3632.0,Mandya,Mandya,12.562547324999999,76.82549660357142
5164.0,Sagar,Shimoga,14.04070223977591,75.32533234313726
5478.0,Shikaripura,Shimoga,14.04070223977591,75.32533234313726
3981.0,Muzaffarpur,Muzaffarpur,26.145075036904764,85.14967377
2009.0,Gulabbagh,Purnea,25.878817448404256,87.06233016702127
1111.0,Chamaraj Nagar,Chamrajnagar,12.012728314583333,77.0765500175
3460.0,Maddur,Mandya,12.562547324999999,76.82549660357142
5279.0,Santhesargur,Mysore,,
5486.0,Shimoga,Shimoga,14.04070223977591,75.32533234313726
1258.0,Chikkamagalore,Chikmagalur,13.44241487973422,75.69804921129568
5845.0,Tarori,Karnal,29.466437995575223,76.65329004159292
5689.0,Soundati,Belgaum,,
2190.0,Hospet,Bellary,,
1110.0,Challakere,Chitradurga,14.220281672380953,76.62793510666667
2164.0,Hiriyur,Chitradurga,14.220281672380953,76.62793510666667
